model_year,make,model,body_style,transmission_type,vin,state,condition,mileage,color,interior,seller,market_value,selling_price,sale_date
2023,Dodge,Ram 2500,Truck,Automatic,RP4FJMDX8R7RN7UTT,UT,83,27009,Red,Black,Carvana,40648,42933,2026-01-30
2022,Kia,Soul,Wagon,Automatic,751WFN0HCXRKB3H0H,AZ,87,68062,Silver,Black,Enterprise Fleet Management,12935,13378,2025-12-16
2016,BMW,X5,SUV,Automatic,00MZEBC3Y9YZMTMSW,IN,56,121953,White,Brown,Vroom,9268,8755,2025-12-20
2014,Ford,Maverick,Truck,Automatic,4GDKCJ909H94FCHD6,GA,69,173028,Silver,Red,Vroom,2521,2365,2026-01-17
2002,Chrysler,Pacifica,Minivan,Automatic,L4R8NW0V7DTVNKS56,MI,19,259098,Beige,Tan,CarMax,1072,1084,2025-12-24
2019,Chevrolet,Tahoe,SUV,Automatic,HEHYABVT1NAVNLBGF,NJ,73,64004,Silver,Gray,TDAF Remarketing,19194,19423,2026-01-14
2021,Chrysler,300,Sedan,Manual,N6HC1NDDJXEZWRK62,TN,83,64362,Silver,White,Hertz Remarketing,18771,17877,2025-12-08
2021,Lucid,Air,Sedan,Automatic,X52369733CX18P30H,MD,80,82687,Brown,Tan,Santander Consumer USA,37707,37094,2026-02-19
2020,Chevrolet,Cruze,Sedan,Automatic,LBYVEEY4T3HMSXPC1,NV,81,12814,Black,Red,Enterprise Fleet Management,13355,12705,2026-02-08
2021,Lucid,Air,Sedan,Automatic,YS3K2PMWRM388G307,NC,75,59195,Gold,Black,Financial Services Remarketing,42107,40858,2026-02-01
2021,Lucid,Air,Sedan,Automatic,15YS2ZKNYMDFF0CHA,KY,70,55965,Green,Black,AutoNation,37830,36133,2025-12-23
2025,Tesla,Model X,SUV,Automatic,GRT6SMFLGWUT1GCYX,IN,76,9075,Gold,Black,Santander Consumer USA,82514,78204,2026-02-19
2024,Jeep,Wrangler,SUV,Automatic,MA8X7MXG8MNPL0L2E,TX,80,30170,Brown,Black,Carvana,31402,33622,2026-01-03
2026,Subaru,Crosstrek,SUV,Manual,Y5K07JLX6EFWV5BS6,CA,84,306,Blue,Black,Penske Automotive,30345,28705,2026-01-15
2003,Mercedes-Benz,C-Class,Sedan,Manual,HRLCHF8EHF9XU7YE3,TN,13,301818,Gray,Tan,Crankyanky Auto,704,711,2026-01-11
2022,Chevrolet,Cruze,Sedan,Automatic,B216HDUGZX1LNULEH,NJ,79,67927,Gray,Gray,Shift,12253,12015,2025-12-18
2026,Dodge,Durango,SUV,Automatic,YRVAANJPN209ZP5MX,CA,95,100,Brown,Brown,Nissan-Infiniti LT,53543,57247,2025-12-16
2016,Toyota,Prius,Hatchback,Automatic,E1VNSMHEBF1ZK2Z62,TX,66,112092,Black,Brown,Hertz Remarketing,4931,5250,2026-02-04
2015,Nissan,Pathfinder,SUV,Manual,CYFE671KUXH45XPTW,OH,61,164364,Beige,Tan,Carvana,4284,3954,2025-12-27
2012,Tesla,Model S,Sedan,Automatic,9N1RN7NXT8RLKHJRT,NV,33,223379,Gold,Brown,Enterprise Fleet Management,2490,2670,2026-01-01
2023,Kia,Sportage,SUV,Automatic,K7XY1L46PYLXJ557V,OH,72,48129,White,Tan,Shift,19312,18569,2026-01-12
2017,Subaru,Forester,SUV,Automatic,J7BSN2SJLCYBSUKES,WI,64,124343,Red,Black,Shift,5385,5106,2026-02-25
2015,Chrysler,Pacifica,Minivan,Automatic,DA6RSG46V8W3N3FNF,PA,59,187615,Gray,Brown,Vroom,3479,3711,2025-12-26
2022,Jeep,Wagoneer,SUV,Manual,NJAP9TAXHWUVZT55Z,VA,66,53284,Green,Beige,Financial Services Remarketing,32875,32729,2026-01-31
2019,Volkswagen,Tiguan,SUV,Automatic,YV64TGSTBNTU681UE,MN,60,79515,Black,White,Lithia Motors,8092,8469,2026-02-12
2024,BMW,5 Series,Sedan,Automatic,MD5E70NBGCFE5NCT9,UT,63,35579,Red,Black,Hendrick Automotive,33470,34903,2026-01-23
2024,BMW,5 Series,Sedan,Manual,95L4CFBSK6ZZYCBTE,IL,81,27783,White,Brown,Avis Corporation,43755,44106,2025-12-30
2012,Hyundai,Elantra,Sedan,Manual,RHME1Z0SYLPJHEUAT,SC,57,154351,Blue,Tan,Hertz Remarketing,1950,2046,2025-12-30
2019,Ford,Fusion,Sedan,Manual,CKT9RCSR05N98PH1L,OH,66,74657,Black,White,Wells Fargo Dealer Services,7661,7701,2026-02-13
2019,Hyundai,Elantra,Sedan,Automatic,GMY1HSLC76VE5DYRB,CA,64,115490,Blue,Red,Nissan-Infiniti LT,5194,4925,2025-12-03
2013,Am General,M1097A,Truck,Automatic,ELT7KC5XVBJWHZ9PV,KY,52,178382,Silver,Black,Enterprise Fleet Management,1455,1454,2025-12-14
2015,Chevrolet,Cruze,Sedan,Automatic,F04XT0CK9CBK4BD3G,TX,45,88026,Red,White,Avis Corporation,2666,2548,2026-02-25
2022,Ford,Mustang,Sedan,Automatic,ULG2PV2DXN49JVRLP,PA,89,57701,Blue,Gray,Avis Corporation,26274,24648,2025-12-04
2016,Jeep,Grand Cherokee,SUV,Automatic,RL9GTCJ3AGUPDTHL1,AZ,62,107268,Blue,Gray,Sonic Automotive,7518,7758,2026-02-25
2015,Hyundai,Santa Fe,SUV,Automatic,KHP81P5C4433HCJUJ,KS,67,120560,White,White,Santander Consumer USA,5151,5274,2026-02-14
2020,Hyundai,Elantra,Sedan,Automatic,FKGDKLGCT22F266T7,WI,79,54023,Beige,Red,Lithia Motors,10967,10227,2026-01-29
2024,Lucid,Air,Sedan,Automatic,52CABLAAXXPS5XBCX,IN,67,15660,Beige,Black,Wells Fargo Dealer Services,57246,55891,2025-12-15
2020,Toyota,Corolla,Sedan,Automatic,2FVGEU0XZ639RE4BF,SC,86,99169,Red,Gray,Sonic Automotive,9535,10251,2026-02-12
2017,Toyota,Corolla,Sedan,Automatic,F4W1HADBSWKLZCXJ4,PA,50,34847,Silver,Gray,Enterprise Fleet Management,4702,4721,2026-01-05
2023,Chrysler,Pacifica,Minivan,Automatic,8N7UY0X1ZE9GUVA7B,WA,80,49265,Gold,Gray,DriveTime,27302,29109,2025-12-06
2017,Chrysler,Pacifica,Minivan,Automatic,FKPZ2EHRGU7MEZF74,MN,54,148261,Red,Gray,Sonic Automotive,5039,5357,2026-01-19
2023,Honda,Civic,Sedan,Automatic,ZW8X7ZX19N6C6YNYC,IL,90,42028,Gold,Beige,Sonic Automotive,19132,19714,2026-02-21
2016,Chrysler,Pacifica,Minivan,Manual,V69BANMVH9EH7ZG43,PA,50,120697,Brown,Red,Financial Services Remarketing,4911,4837,2025-12-11
2024,Tesla,Model 3,Sedan,Automatic,APJX4RNZJ6G6FV2GG,SC,90,21465,Beige,Red,Hendrick Automotive,36455,38897,2025-12-12
2020,Jeep,Wrangler,SUV,Manual,WDSBLSEB9AKK4B18D,VA,79,78515,Gold,Brown,CarMax,17324,18622,2026-01-11
2018,Dodge,Ram 1500,Truck,Manual,RHHL1K8Z2SEVNJB3U,IL,85,69422,Black,Beige,Vroom,14180,13155,2025-12-20
2021,Mercedes-Benz,E-Class,Sedan,Automatic,X8ZD9NJY0CEL5V9CU,CO,76,72091,Red,Black,Crankyanky Auto,28426,30599,2025-12-18
2018,Honda,HR-V,SUV,Automatic,SB1EY1F51Y263W2S8,KS,77,66192,Beige,Beige,Sonic Automotive,7735,7807,2026-01-04
2017,Ford,Expedition,SUV,Automatic,PSRR9CB8WZ5ARM5XV,SC,54,109109,Silver,White,DriveTime,8872,9484,2026-02-01
2016,BMW,X5,SUV,Automatic,GAKWL4TLPHMTVSV6H,MD,38,142060,Red,Black,Ford Motor Credit Company,5658,5638,2025-12-12
2024,Kaiser,M54,Truck,Automatic,PU1VVY8S9T541SXKJ,KY,84,22324,Red,Beige,TDAF Remarketing,12011,11697,2026-02-10
2020,Toyota,Sienna,Minivan,Automatic,3PHRV6HT1DM9SWP9L,CO,77,62301,Beige,Gray,Vroom,17186,17166,2026-02-28
2013,Volkswagen,Tiguan,SUV,Manual,9YJ36L1A7DEP6HFPA,KY,48,174582,White,White,Hendrick Automotive,2174,2336,2025-12-04
2015,Mercedes-Benz,GLE,SUV,Automatic,0SA4F5VNSYE7624WM,WA,62,109851,Gold,Black,Vroom,9826,10546,2025-12-29
2022,Rivian,R1S,SUV,Automatic,8Z64VVKW468KMSV6R,WA,91,53421,Red,Red,Santander Consumer USA,55245,54481,2026-02-01
2015,Tesla,Model 3,Sedan,Automatic,HUUMR5AVEKNJ4BKSV,NV,48,112905,Brown,Gray,Avis Corporation,4568,4690,2026-01-03
2023,Lucid,Air,Sedan,Automatic,GKTM19PA1XH2EU8L5,OR,89,45572,Gray,Beige,Enterprise Fleet Management,62404,64417,2026-01-16
2026,Chevrolet,Suburban,SUV,Automatic,BXGCK47C3LCSCJSZJ,MN,85,484,Blue,White,Shift,67345,64369,2025-12-06
2005,BMW,5 Series,Sedan,Manual,S4GVTVLTNPJJP69DC,PA,24,206684,Gold,Brown,DriveTime,2215,2331,2026-01-07
2015,Ford,F-350,Truck,Automatic,382N44Z52EL7HYGZR,NM,67,74524,Blue,Black,Lithia Motors,11648,12065,2026-01-11
2025,Honda,Ridgeline,Truck,Automatic,HLWUU24UKWDHSMGF6,NC,87,10220,Green,Black,Crankyanky Auto,40488,38444,2026-02-18
2026,Jeep,Wrangler,SUV,Manual,MTKA8FEP5X364STW3,MN,100,239,Silver,Black,Sonic Automotive,52494,55382,2026-01-08
2008,Kaiser,M54,Truck,Automatic,AUDCZD4YC9SKG207J,WA,42,154563,Black,Beige,Nissan-Infiniti LT,998,1046,2025-12-28
2022,Nissan,Sentra,Sedan,Automatic,PJ77ZDN2SWLK7EPM1,WI,71,42325,Gray,Gray,Shift,12200,11601,2026-02-23
2020,Jeep,Grand Cherokee,SUV,Automatic,S8ZNXL1ZAWXC3KTRS,NM,77,48262,Green,Red,AutoNation,19994,18800,2026-01-07
2004,Chrysler,Pacifica,Minivan,Automatic,KAFC7641JBG9PR3AU,CA,11,213164,Red,Beige,CarMax,674,686,2026-02-13
2012,Tesla,Model Y,SUV,Automatic,STPS431V4F9RU98DJ,TX,44,218733,White,Gray,Sonic Automotive,2001,1844,2026-02-07
2022,Nissan,Sentra,Sedan,Automatic,B25EFD6E3HHXEUGUR,MA,77,30507,Gold,Black,Carvana,14298,15437,2026-01-09
2020,Ford,Explorer,SUV,Automatic,9K8ZTKC5090V2DY9U,NY,81,54331,Brown,Red,Wells Fargo Dealer Services,20010,18904,2026-02-23
2021,Rivian,R1T,Truck,Automatic,J1JCXKCECEAFAF3AX,WA,87,48516,Brown,Red,Wells Fargo Dealer Services,44186,43324,2025-12-25
2022,Kia,Sportage,SUV,Automatic,4UJ8EEDCATF24C74E,VA,87,62831,Silver,Tan,Carvana,19634,19986,2026-02-25
2024,Am General,M1097A,Truck,Manual,59KCYW0GUEVGNYWX2,CO,78,19882,Beige,Black,CarMax,15366,16308,2026-01-02
2021,Lucid,Air,Sedan,Automatic,PESCNG86X1JWVB2GZ,NY,68,84836,Silver,Gray,Santander Consumer USA,32338,31453,2026-01-04
2017,Tesla,Model X,SUV,Automatic,T1JW8UJWY2FAUVPVW,OR,51,107357,Brown,Tan,Carvana,14692,14566,2025-12-22
2016,Toyota,Sienna,Minivan,Automatic,UVMUVE87ABCMSWN9X,MD,55,116079,Gold,Beige,DriveTime,5411,5234,2025-12-29
2005,Chevrolet,Suburban,SUV,Automatic,PW0HUP6J48FLX0WKC,IN,35,220194,White,Tan,Sonic Automotive,3180,3058,2026-01-08
2017,Dodge,Ram 2500,Truck,Manual,SMA4A8K3FLZVMJ6EJ,MI,63,116007,White,Black,Enterprise Fleet Management,9392,9972,2026-02-04
2017,Tesla,Model Y,SUV,Automatic,K7EJXU68YXYDKK5FR,GA,69,109849,Silver,Black,DriveTime,9964,9748,2026-01-07
2026,Subaru,Outback,Wagon,Automatic,M80D1TLZXJEZV78PX,GA,98,401,Gray,White,Hertz Remarketing,43637,44384,2026-02-10
2026,Am General,M1097A,Truck,Automatic,T2PJE1U2K6UW90HRF,TX,100,243,Green,Red,Hendrick Automotive,26462,26462,2026-01-19
2018,Toyota,Tacoma,Truck,Automatic,S86UZUE5BPP1S32R8,SC,70,102937,White,Tan,Santander Consumer USA,8677,8960,2026-01-02
2025,Chrysler,300,Sedan,Automatic,AGEZ2NGMY1R8UKR3J,MD,82,4858,Green,Black,TDAF Remarketing,35167,33616,2026-02-09
2019,Subaru,Crosstrek,SUV,Manual,MRRKYFN3715VVV9EU,CO,66,108213,Blue,Gray,Avis Corporation,6934,7468,2026-01-19
2025,Rivian,R1S,SUV,Automatic,ZVGEGGGGMVGVD72ZM,IN,88,16934,Blue,Beige,Crankyanky Auto,74789,78379,2025-12-27
2009,Hyundai,Sonata,Sedan,Automatic,WAEHWNJ19Y1J11RL1,NV,28,178977,Blue,White,Hertz Remarketing,1111,1039,2025-12-19
2018,Volkswagen,Tiguan,SUV,Automatic,PZASJVSJH4BP3YHE8,GA,78,83904,Blue,Black,Penske Automotive,8584,7937,2026-01-04
2006,Kia,Sorento,SUV,Manual,XEX76AF5PPDECH7LH,TN,41,267644,Gray,Brown,Ford Motor Credit Company,1576,1566,2025-12-03
2011,Jeep,Grand Cherokee,SUV,Automatic,48H1CVRJ00GCD6A58,NM,45,214086,Black,Beige,DriveTime,2134,2051,2026-02-10
2016,Hyundai,Santa Fe,SUV,Automatic,HVYG3SPA7S54A66FN,OR,58,139684,Green,Black,Sonic Automotive,4840,4962,2025-12-20
2018,Tesla,Model X,SUV,Automatic,5GDVDTGZDZBCGADS0,FL,62,93827,Green,Beige,Ford Motor Credit Company,19621,18091,2025-12-31
2018,Chrysler,Pacifica,Minivan,Automatic,71312KY7R6H82BBA2,NJ,60,39986,Blue,Beige,Shift,9944,10700,2025-12-22
2017,Toyota,Corolla,Sedan,Automatic,LUCDBB71TTCCNU0D0,WA,56,129587,Silver,White,CarMax,3441,3504,2026-01-18
2023,Toyota,RAV4,SUV,Automatic,CZXW0NGS5HT9C66X7,TX,78,31763,Gray,Gray,TDAF Remarketing,21708,21414,2026-02-20
2002,BMW,X3,SUV,Automatic,WGN3CB5JVNACP9BR2,OH,28,238125,Silver,Gray,Enterprise Fleet Management,2197,2032,2025-12-24
2001,Chrysler,300,Sedan,Automatic,BBM23T0XS4J981L0P,VA,19,413447,Green,Red,AutoNation,408,431,2026-02-03
2019,Honda,Ridgeline,Truck,Automatic,GWEA7RE3R2W1MEKXJ,WI,64,82230,White,Tan,Vroom,9868,9842,2026-02-27
2017,Chrysler,Pacifica,Minivan,Automatic,YMFGPDT3GMZU2PYYG,CA,68,137998,Brown,Red,Santander Consumer USA,6874,6606,2025-12-25
2016,Chrysler,300,Sedan,Automatic,R43454APL074DJTLR,NV,67,131933,Gold,Brown,Sonic Automotive,5326,5098,2026-01-09
2012,Nissan,Altima,Sedan,Automatic,B80A77X0YZ4E2MGDJ,PA,49,143520,Blue,Red,Ford Motor Credit Company,1989,2032,2026-02-13
2018,Volkswagen,Passat,Sedan,Automatic,UHG3NW6E9MFB9J04L,NV,55,99608,Gold,Beige,CarMax,5787,6021,2026-02-13
2004,Am General,M1097A,Truck,Automatic,2R7ZGXR9CUC3TC7T0,TN,21,293886,Gold,White,TDAF Remarketing,468,501,2026-01-31
2019,Chrysler,Pacifica,Minivan,Automatic,KKCYSNK0BT61HFHSU,NC,62,57956,Gray,Brown,Wells Fargo Dealer Services,10831,11608,2026-01-18
2026,Mercedes-Benz,E-Class,Sedan,Automatic,W185VJ0FPRMCRKSFH,UT,79,239,White,Gray,Hendrick Automotive,68414,65335,2026-02-24
2019,Jeep,Wagoneer,SUV,Manual,1ZK26LNBGFHAKKZEU,KS,62,68462,Green,Black,Avis Corporation,17958,16837,2026-02-23
2014,Am General,M1097A,Truck,Automatic,G28XC8NKBMRVV2YBY,UT,48,100336,Green,Tan,CarMax,2181,2134,2026-01-14
2024,BMW,5 Series,Sedan,Automatic,8896SVNJ1YAX0MHDK,WA,81,32324,Silver,Black,DriveTime,42631,42447,2025-12-08
2021,Rivian,R1S,SUV,Automatic,C35W6YZBKJK0X8LR8,MN,73,61732,Brown,Gray,Enterprise Fleet Management,38133,36833,2025-12-21
2025,Tesla,Model Y,SUV,Automatic,TNUHWFYK2V1SEGN62,TN,92,8515,Beige,Tan,Vroom,51484,50489,2025-12-22
2019,Nissan,Altima,Sedan,Automatic,DTEMJR03T46BWLF3S,AZ,66,80482,Beige,Black,Avis Corporation,7307,7295,2025-12-03
2026,Subaru,Outback,Wagon,Automatic,CBGA3R9PA0B205FWG,TX,100,344,Green,White,AutoNation,44812,45353,2026-01-19
2023,Ford,Mustang,Sedan,Automatic,FXEG7G5LUUCZEGB35,NJ,75,40822,White,Tan,Ford Motor Credit Company,25302,25706,2026-02-04
2012,Kaiser,M54,Truck,Manual,7267K2848VY10YNH8,CA,54,204416,White,Brown,Enterprise Fleet Management,843,852,2026-01-06
2017,Volkswagen,Jetta,Sedan,Automatic,K6J4XMPMCHRUDNY8R,WI,44,140185,Beige,Beige,Ford Motor Credit Company,2670,2472,2026-01-17
2023,Nissan,Altima,Sedan,Automatic,1U1LD16ZNH9SF6UN1,MI,100,39797,Gold,White,CarMax,24067,23993,2025-12-21
2017,Nissan,Pathfinder,SUV,Automatic,D9YWP7RZA1599P9U5,PA,57,141323,Black,White,Nissan-Infiniti LT,5410,5789,2026-02-19
2025,Honda,Pilot,SUV,Automatic,1C1AHUZUSPBRC7A7F,NC,96,16431,Red,Tan,TDAF Remarketing,47978,51087,2025-12-02
2001,Mercedes-Benz,E-Class,Sedan,Automatic,ZG82PWZ0NVS61LT1Y,KY,14,222741,Green,Black,Penske Automotive,1514,1462,2026-01-20
2012,Tesla,Model X,SUV,Automatic,ZLRJWGC83ZC2S6T5J,VA,65,222051,Green,Black,Wells Fargo Dealer Services,6014,5933,2025-12-12
2011,Kia,Sportage,SUV,Automatic,BM560BMFWGAH538EK,OH,50,52164,Silver,Gray,Nissan-Infiniti LT,2600,2414,2026-02-22
2017,Hyundai,Elantra,Sedan,Automatic,BEYF1GCWHFTTSATKZ,NY,62,88422,Silver,Red,Carvana,4757,5080,2025-12-22
2017,Mercedes-Benz,C-Class,Sedan,Automatic,EWTUSZ1A48404CTBS,SC,66,115947,Silver,Black,Wells Fargo Dealer Services,9338,9976,2026-01-07
2016,Chevrolet,Silverado 1500,Truck,Automatic,GJRK22G7519WK348M,IL,58,148557,Silver,White,Santander Consumer USA,5965,6017,2025-12-15
2022,Kia,Optima,Sedan,Automatic,CG69H21TBYK5BD579,MA,66,33070,Silver,Tan,Vroom,14012,14600,2025-12-07
2022,Tesla,Model 3,Sedan,Automatic,ND63ULR0UGR6XZDX6,IL,78,73493,Red,Black,Lithia Motors,20676,19125,2026-01-01
2022,Chevrolet,Silverado 1500,Truck,Automatic,J1358KTLZTZJJS05J,TX,90,38516,Beige,Black,Hertz Remarketing,32905,30659,2025-12-14
2016,Nissan,Pathfinder,SUV,Automatic,UVKUKLR6AERXPT3FF,IN,75,52849,Green,Tan,Santander Consumer USA,9721,8974,2026-02-18
2004,Honda,Passport,SUV,Automatic,5B7D1PN1SFZHYER1J,CO,15,294973,White,Gray,Financial Services Remarketing,683,711,2026-01-16
2019,Hyundai,Tucson,SUV,Automatic,EWDVU7Z7JU4UHACCJ,UT,71,67530,Blue,Tan,Shift,9111,9106,2026-02-22
2024,Kia,Optima,Sedan,Automatic,RYRU8B14SJ48ZWJS3,SC,83,27459,Brown,Gray,AutoNation,20697,19686,2025-12-09
2021,Rivian,R1S,SUV,Automatic,CV4APHTSKT7PWVF64,OR,76,49865,Brown,Black,Avis Corporation,41421,44323,2026-01-17
2019,Jeep,Gladiator,Truck,Automatic,H7DVXDS7MV1DJ6M6K,GA,71,92024,Gray,Gray,CarMax,10540,11299,2025-12-20
2017,Kia,Sorento,SUV,Automatic,P6H14XFB6MBXCVGZ4,GA,78,146366,Blue,White,Ford Motor Credit Company,6368,6072,2026-01-17
2015,Kia,Soul,Wagon,Automatic,M84HKAGPW36N3RXPE,MA,59,99478,Green,Beige,TDAF Remarketing,3142,2984,2026-02-14
2018,Ford,Mustang,Sedan,Automatic,1ZCFNSKGEVH6S87M8,KS,65,82075,Silver,Gray,Sonic Automotive,9158,8524,2026-01-20
2023,Kaiser,M54,Truck,Automatic,U0DD8MLPU3GLD7D8S,WI,65,27845,Gray,Black,Ford Motor Credit Company,8586,8800,2025-12-17
2019,Kia,Soul,Wagon,Automatic,YP3VJYH1TMXXB6W7Z,MI,73,123774,Green,Gray,AutoNation,5058,5316,2026-01-31
2021,Rivian,R1S,SUV,Automatic,910U6RKD2W590E3J2,KS,85,77867,Gold,Gray,Wells Fargo Dealer Services,39618,38626,2026-02-24
2021,Rivian,R1T,Truck,Automatic,R7LST7AVE8G67N9CW,FL,85,65010,Green,Red,Financial Services Remarketing,40570,41211,2026-01-18
2013,Kia,Sorento,SUV,Manual,SP49SGFJ1GWS4HHLT,WI,32,165179,Blue,Brown,DriveTime,1624,1685,2026-01-03
2026,Chrysler,Pacifica,Minivan,Automatic,EK7J6VYZ4089D5VR4,NM,83,120,Gray,Gray,CarMax,43782,40317,2026-01-04
2016,Kia,Sorento,SUV,Automatic,8WH09PHGNV2S293W3,IN,41,98324,Gray,White,Sonic Automotive,3810,3974,2026-02-16
2022,Honda,Accord,Sedan,Automatic,KH92ZM2Z98STXZ86A,GA,100,56788,Brown,Brown,Avis Corporation,22479,20816,2025-12-21
2015,Honda,Odyssey,Minivan,Automatic,NTEVVALT1T8NYMMCN,KY,76,166880,Brown,Tan,Penske Automotive,5045,4957,2026-01-04
2015,Tesla,Model 3,Sedan,Automatic,WTY9EZEBTZLV9BCYS,IN,41,147212,Red,White,AutoNation,3383,3324,2025-12-30
2022,Nissan,Sentra,Sedan,Manual,XS0UWVSD9K9ZAYM22,FL,83,34765,Green,Brown,TDAF Remarketing,15649,15404,2026-02-10
2015,Kaiser,M54,Truck,Automatic,6HVPEJ0LJ9F9JNRLG,NC,57,155189,Black,Beige,Penske Automotive,1563,1595,2025-12-28
2021,BMW,3 Series,Sedan,Manual,65GJWZUMUX7527GCD,MN,71,76073,Green,Brown,Penske Automotive,20392,20615,2025-12-12
2000,Volkswagen,Passat,Sedan,Manual,5CHLTBRZR89YDJWLK,WI,26,340030,Blue,Gray,Wells Fargo Dealer Services,822,787,2026-02-09
2018,Chrysler,300,Sedan,Manual,L5UDF5GA6LVZ787XS,NC,79,78357,White,Red,Sonic Automotive,10873,11631,2025-12-10
2021,Subaru,Outback,Wagon,Manual,AJCPTC3W4BLU73C8J,MD,71,75897,Beige,Black,Carvana,14449,14338,2026-02-05
2018,Chrysler,300,Sedan,Manual,1GU4WU01KFK8ZEEMH,FL,60,76915,Silver,Brown,Wells Fargo Dealer Services,7708,8138,2026-02-07
2015,Honda,Accord,Sedan,Automatic,T34Z795ELM1V9JMFA,KY,60,196965,Blue,White,CarMax,2518,2364,2026-01-23
2021,Rivian,R1T,Truck,Automatic,G80J7V1NZ0CBTHJHC,NY,88,70167,Black,Tan,DriveTime,40347,38110,2026-01-19
2017,Chrysler,Pacifica,Minivan,Automatic,H1323DFVNB19MC97W,VA,67,137525,Green,Brown,Hendrick Automotive,6505,6431,2026-02-11
2024,Honda,HR-V,SUV,Automatic,R165VEF0SNXBUN030,SC,81,26125,Red,White,DriveTime,19944,21071,2025-12-18
2026,Ford,Explorer,SUV,Manual,VB6AZYU12VG5KN9D2,MA,100,319,White,Gray,Financial Services Remarketing,54313,52474,2026-01-02
2019,Am General,M1097A,Truck,Automatic,FE9XGHHC52E2BMH7U,WA,64,57686,Gold,Gray,Lithia Motors,6037,6134,2025-12-03
2021,Rivian,R1T,Truck,Automatic,3UY1FZB1VE793NDE9,TX,87,30545,Black,Beige,Lithia Motors,47176,46442,2026-01-22
2008,Jeep,Grand Cherokee,SUV,Automatic,MYNSRKFPWV06ULAMT,NY,33,191534,Gray,Black,Hertz Remarketing,2059,2196,2026-01-24
2022,Kaiser,M54,Truck,Manual,D2JLC46VHBSCG3F50,MD,79,55780,Silver,Beige,Hendrick Automotive,8527,8925,2026-02-22
2021,Rivian,R1T,Truck,Automatic,JHME4G4R0Y3288UYV,MI,88,67926,Blue,Tan,Enterprise Fleet Management,40381,39041,2025-12-03
2025,Hyundai,Tucson,SUV,Automatic,UHB48GRH8N19T1TRK,WI,81,8372,Red,Black,Financial Services Remarketing,28567,27713,2026-01-29
2026,Subaru,Outback,Wagon,Automatic,29UM2M3ZWGLAWLYAJ,NM,100,395,Red,Black,Wells Fargo Dealer Services,46890,49008,2026-01-23
2021,Lucid,Air,Sedan,Automatic,FMU85GB87H8MXCT44,OH,68,63564,Blue,White,Avis Corporation,37837,37279,2026-01-03
2021,Rivian,R1T,Truck,Automatic,Z8NATWTGEEKZVJM2W,CO,71,67565,Green,Beige,Santander Consumer USA,31622,32804,2025-12-20
2015,Kia,Optima,Sedan,Automatic,V46L8W2J79AXSLWUZ,MD,38,144452,Black,Tan,TDAF Remarketing,1996,2063,2026-02-26
2017,Subaru,Forester,SUV,Manual,V37NY067GKF0MHV43,TX,54,71790,Black,Brown,Ford Motor Credit Company,5846,5391,2026-03-02
2011,Chrysler,300,Sedan,Automatic,0HSAV2N760Y3CY9K4,WA,38,212747,Black,Black,CarMax,1415,1390,2025-12-10
2016,Kaiser,M54,Truck,Automatic,0YK848E8ZMMYY6E5T,PA,68,57895,Beige,Tan,Nissan-Infiniti LT,3113,2922,2025-12-10
2020,Am General,M1097A,Truck,Manual,9S0ULGREY5DUUC5XR,PA,73,59615,Gray,Red,Enterprise Fleet Management,8195,8707,2025-12-03
2024,Nissan,Sentra,Sedan,Automatic,2MX87MY3523EB9BJY,MD,87,27289,Brown,Gray,Vroom,18544,17879,2026-01-19
2023,Subaru,Crosstrek,SUV,Automatic,4M9UTJSD98547SDBT,TN,84,29139,Red,Tan,Shift,22869,23387,2026-02-17
2026,Chrysler,300,Sedan,Automatic,HZ9C248URFWHDME2X,NM,83,436,Brown,Brown,Enterprise Fleet Management,40299,41990,2025-12-15
2017,Subaru,Crosstrek,SUV,Automatic,JWJ39LNKZTM32YV5P,NJ,70,147955,Red,White,Ford Motor Credit Company,4827,4859,2025-12-16
2021,Tesla,Model 3,Sedan,Automatic,34LCJZJX07346YB5P,OR,66,79338,Red,Brown,Penske Automotive,15804,16434,2025-12-04
2019,Nissan,Altima,Sedan,Automatic,D3HZF3XA9CF51C96C,MD,56,86928,Black,Beige,Financial Services Remarketing,6153,5957,2026-01-03
2015,Subaru,Outback,Wagon,Automatic,DDGKBCV6UCAJL420V,TN,53,58664,Green,Beige,TDAF Remarketing,5208,4838,2026-01-18
2026,Kia,Sorento,SUV,Automatic,076J5G8R3990JMTY2,VA,92,100,Red,Black,Wells Fargo Dealer Services,41654,43618,2026-02-08
2011,Chevrolet,Colorado,Truck,Automatic,WDU2W6NRRPEE54X12,GA,28,180718,Gold,Brown,Avis Corporation,1160,1081,2026-03-02
2017,Ford,Focus,Sedan,Automatic,UGBZKPYPVGKJVVTX8,MI,72,133751,Red,White,TDAF Remarketing,3987,4243,2026-01-09
2015,Nissan,Rogue,SUV,Automatic,ZSJGVN89GT3B0V63M,MO,61,145708,Black,Black,Lithia Motors,3777,3793,2025-12-22
2017,BMW,3 Series,Sedan,Manual,KMW9MWNRL0JUEY9XT,WI,67,88033,White,Tan,Penske Automotive,10129,10274,2026-02-17
2009,Chrysler,Pacifica,Minivan,Automatic,TZDB8SVGW442TV1TB,SC,55,211319,Beige,Red,Hendrick Automotive,2671,2777,2026-02-24
